galaxy,r_kpc,x,y,Rd_kpc
NGC0300,5.45,2.9387254901960786,0.030685986675372694,1.8545454545454545
NGC0300,5.9,3.181372549019608,0.030198198195600778,1.8545454545454545
NGC0300,6.36,3.4294117647058826,0.03231543621507205,1.8545454545454545
NGC0300,6.81,3.6720588235294116,0.029843122542600034,1.8545454545454545
NGC0300,7.26,3.914705882352941,0.027504011650821853,1.8545454545454545
NGC0300,7.71,4.1573529411764705,0.02570984566489459,1.8545454545454545
NGC0300,8.17,4.405392156862745,0.025536436579506463,1.8545454545454545
NGC0300,8.62,4.648039215686274,0.024738654510628125,1.8545454545454545
NGC0300,9.07,4.890686274509804,0.02651426186223418,1.8545454545454545
NGC0300,9.53,5.138725490196078,0.027662813496211386,1.8545454545454545
NGC0300,9.96,5.370588235294118,0.026271044270299804,1.8545454545454545
NGC0300,10.45,5.634803921568627,0.024489320404038527,1.8545454545454545
NGC0300,10.93,5.893627450980392,0.022358666043903748,1.8545454545454545
NGC0300,11.32,6.1039215686274515,0.02196665016643545,1.8545454545454545
NGC0300,11.8,6.362745098039216,0.0215720218271787,1.8545454545454545
NGC0801,1.17,0.7312500000000001,-0.034867754527100774,1.5999999999999999
NGC0801,1.56,0.9750000000000001,-0.028863471892965415,1.5999999999999999
NGC0801,1.96,1.225,0.2724170549763968,1.5999999999999999
NGC0801,2.73,1.70625,0.22240666589440525,1.5999999999999999
NGC0801,3.52,2.2,0.17409654700567315,1.5999999999999999
NGC0801,10.59,6.61875,0.05346626546665644,1.5999999999999999
NGC0801,17.65,11.03125,0.03907670776419512,1.5999999999999999
NGC0801,24.61,15.381250000000001,0.029120417734494173,1.5999999999999999
NGC0801,31.67,19.793750000000003,0.02386742078466204,1.5999999999999999
NGC0801,38.74,24.212500000000002,0.021124743420955053,1.5999999999999999
NGC0801,45.8,28.625,0.019184820527520418,1.5999999999999999
NGC0801,52.86,33.0375,0.01861953105191408,1.5999999999999999
NGC0801,59.82,37.3875,0.01691831886355471,1.5999999999999999
NGC0891,0.92,0.6246913580246914,0.8192156593673263,1.4727272727272727
NGC0891,2.32,1.5753086419753086,-0.1344122771803745,1.4727272727272727
NGC0891,3.24,2.2,-0.08531270266844189,1.4727272727272727
NGC0891,4.17,2.8314814814814815,0.019007749467655828,1.4727272727272727
NGC0891,5.1,3.462962962962963,0.05043889880112066,1.4727272727272727
NGC0891,6.03,4.094444444444445,0.0706020861134416,1.4727272727272727
NGC0891,6.96,4.725925925925926,0.07462007583441395,1.4727272727272727
NGC0891,7.89,5.357407407407408,0.08264493511929201,1.4727272727272727
NGC0891,8.8,5.975308641975309,0.07964941559558493,1.4727272727272727
NGC0891,9.73,6.606790123456791,0.08261954791201005,1.4727272727272727
NGC0891,10.64,7.224691358024692,0.08118281024593116,1.4727272727272727
NGC0891,11.58,7.862962962962963,0.07459785287619068,1.4727272727272727
NGC0891,12.52,8.501234567901234,0.0685750774553225,1.4727272727272727
NGC0891,13.46,9.139506172839507,0.06347918416019345,1.4727272727272727
NGC0891,14.4,9.777777777777779,0.06080530731908803,1.4727272727272727
NGC0891,15.33,10.40925925925926,0.058931706691027194,1.4727272727272727
NGC0891,16.27,11.047530864197531,0.05275135141863189,1.4727272727272727
NGC0891,17.11,11.617901234567901,0.05075091823009805,1.4727272727272727
NGC2403,0.16,0.15438596491228074,0.06985855734836949,1.0363636363636362
NGC2403,0.26,0.2508771929824562,0.08087003733167931,1.0363636363636362
NGC2403,0.36,0.34736842105263166,0.07144610181594582,1.0363636363636362
NGC2403,0.46,0.4438596491228071,0.08043547045623023,1.0363636363636362
NGC2403,0.56,0.5403508771929826,0.10081107666568315,1.0363636363636362
NGC2403,0.66,0.6368421052631581,0.10445880538033944,1.0363636363636362
NGC2403,0.76,0.7333333333333335,0.11657353842158623,1.0363636363636362
NGC2403,0.86,0.8298245614035089,0.11401837533103407,1.0363636363636362
NGC2403,0.96,0.9263157894736843,0.09671158732571451,1.0363636363636362
NGC2403,1.06,1.02280701754386,0.0916905698014748,1.0363636363636362
NGC2403,1.16,1.1192982456140352,0.08692023309202918,1.0363636363636362
NGC2403,1.27,1.2254385964912284,0.09453409148771823,1.0363636363636362
NGC2403,1.36,1.3122807017543863,0.09458327971057996,1.0363636363636362
NGC2403,1.47,1.4184210526315792,0.08599181192173486,1.0363636363636362
NGC2403,1.57,1.5149122807017548,0.08610946794303483,1.0363636363636362
NGC2403,1.67,1.61140350877193,0.08604729028928067,1.0363636363636362
NGC2403,1.77,1.7078947368421056,0.07592969228304769,1.0363636363636362
NGC2403,1.87,1.804385964912281,0.07414195843160869,1.0363636363636362
NGC2403,1.97,1.9008771929824566,0.07313543878214049,1.0363636363636362
NGC2403,2.08,2.0070175438596496,0.07133993571503883,1.0363636363636362
NGC2403,2.18,2.103508771929825,0.0615882249897472,1.0363636363636362
NGC2403,2.28,2.2,0.05779524466001765,1.0363636363636362
NGC2403,2.37,2.2868421052631587,0.056354920399579296,1.0363636363636362
NGC2403,2.47,2.383333333333334,0.052204777896412285,1.0363636363636362
NGC2403,2.57,2.4798245614035093,0.05329056251337384,1.0363636363636362
